Time(yr)	Coordinate	Uncertainty
2019.2973	2.93446	0.5
2019.3000	4.14237	0.5
2019.3027	3.73578	0.5
2019.3055	1.87794	0.5
2019.3082	1.60518	0.5
2019.3110	2.62783	0.5
2019.3137	5.43264	0.5
2019.3164	1.86791	0.5
2019.3192	1.78313	0.5
2019.3219	2.91654	0.5
2019.3247	4.08371	0.5
2019.3274	4.02535	0.5
2019.3301	0.7824	0.5
2019.3329	2.66186	0.5
2019.3356	2.48303	0.5
2019.3384	0.90519	0.5
2019.3411	-0.7149	0.5
2019.3438	1.32666	0.5
2019.3466	0.73935	0.5
2019.3493	1.93009	0.5
2019.3521	3.74987	0.5
2019.3548	2.33308	0.5
2019.3575	2.70542	0.5
2019.3603	2.86023	0.5
2019.3630	-0.23299	0.5
2019.3658	-1.33717	0.5
2019.3685	3.26838	0.5
2019.3712	0.54421	0.5
2019.3740	2.19826	0.5
2019.3767	2.80427	0.5
2019.3795	2.90474	0.5
2019.3822	1.78213	0.5
2019.3849	0.6432	0.5
2019.3877	1.81377	0.5
2019.3904	2.37869	0.5
2019.3931	1.46089	0.5
2019.3959	2.64903	0.5
2019.3986	0.54515	0.5
2019.4014	3.83319	0.5
2019.4041	5.29978	0.5
2019.4068	3.31646	0.5
2019.4096	5.23674	0.5
2019.4123	2.38366	0.5
2019.4151	2.75533	0.5
2019.4178	1.62491	0.5
2019.4205	1.06438	0.5
2019.4233	2.65567	0.5
2019.4260	0.43343	0.5
2019.4288	-0.46987	0.5
2019.4315	3.86519	0.5
2019.4342	0.01085	0.5
2019.4370	1.7078	0.5
2019.4397	0.83746	0.5
2019.4425	4.27429	0.5
2019.4452	2.91125	0.5
2019.4479	5.08146	0.5
2019.4507	1.46744	0.5
2019.4534	1.58497	0.5
2019.4562	0.21822	0.5
2019.4589	1.41788	0.5
2019.4616	-1.24819	0.5
2019.4644	0.93881	0.5
2019.4671	-0.78853	0.5
2019.4699	1.77606	0.5
2019.4726	1.38751	0.5
2019.4753	4.89828	0.5
2019.4781	2.94777	0.5
2019.4808	4.52928	0.5
2019.4836	4.73598	0.5
2019.4863	0.865	0.5
2019.4890	4.36879	0.5
2019.4918	0.80953	0.5
2019.4945	3.08459	0.5
2019.4973	3.36022	0.5
2019.5000	2.13182	0.5
2019.5027	4.18114	0.5
2019.5055	5.15769	0.5
2019.5082	2.58269	0.5
2019.5110	3.31431	0.5
2019.5137	0.30734	0.5
2019.5164	4.66209	0.5
2019.5192	-0.1909	0.5
2019.5219	1.17253	0.5
2019.5247	-0.47964	0.5
2019.5274	2.43011	0.5
2019.5301	0.1959	0.5
2019.5329	3.41537	0.5
2019.5356	4.0609	0.5
2019.5384	0.06464	0.5
2019.5411	3.51867	0.5
2019.5438	1.82745	0.5
2019.5466	6.59316	0.5
2019.5493	4.06909	0.5
2019.5521	1.19691	0.5
2019.5548	2.32508	0.5
2019.5575	3.08607	0.5
2019.5603	6.53006	0.5
2019.5630	7.40756	0.5
2019.5658	5.10172	0.5
2019.5685	4.00019	0.5
2019.5712	4.50783	0.5
2019.5740	7.49811	0.5
2019.5767	5.60465	0.5
2019.5795	5.49499	0.5
2019.5822	3.706	0.5
2019.5849	4.42694	0.5
2019.5877	7.92763	0.5
2019.5904	5.67819	0.5
2019.5931	3.64695	0.5
2019.5959	4.44996	0.5
2019.5986	4.83788	0.5
2019.6014	5.69196	0.5
2019.6041	5.03675	0.5
2019.6068	2.71649	0.5
2019.6096	1.13545	0.5
2019.6123	6.88482	0.5
2019.6151	3.27667	0.5
2019.6178	6.24786	0.5
2019.6205	4.94075	0.5
2019.6233	3.44501	0.5
2019.6260	2.10932	0.5
2019.6288	5.60797	0.5
2019.6315	6.85776	0.5
2019.6342	7.28237	0.5
2019.6370	7.01201	0.5
2019.6397	4.1343	0.5
2019.6425	5.40241	0.5
2019.6452	7.14339	0.5
2019.6479	5.84042	0.5
2019.6507	2.79976	0.5
2019.6534	3.42296	0.5
2019.6562	2.67358	0.5
2019.6589	6.01731	0.5
2019.6616	2.15661	0.5
2019.6644	4.90989	0.5
2019.6671	6.40843	0.5
2019.6699	2.46643	0.5
2019.6726	4.13091	0.5
2019.6753	6.25802	0.5
2019.6781	6.83984	0.5
2019.6808	4.88751	0.5
2019.6836	6.98066	0.5
2019.6863	5.29261	0.5
2019.6890	5.16539	0.5
2019.6918	4.43545	0.5
2019.6945	3.86933	0.5
2019.6973	4.61041	0.5
2019.7000	6.36615	0.5
2019.7027	1.44454	0.5
2019.7055	6.46214	0.5
2019.7082	6.57716	0.5
2019.7110	1.6903	0.5
2019.7137	1.25621	0.5
2019.7164	5.98578	0.5
2019.7192	6.48612	0.5
2019.7219	4.8213	0.5
2019.7247	4.25145	0.5
2019.7274	5.19619	0.5
2019.7301	6.79301	0.5
2019.7329	5.3058	0.5
2019.7356	3.7794	0.5
2019.7384	6.22237	0.5
2019.7411	3.88912	0.5
2019.7438	3.86146	0.5
2019.7466	6.37427	0.5
2019.7493	6.14645	0.5
2019.7521	2.63146	0.5
2019.7548	6.70875	0.5
2019.7575	2.08211	0.5
2019.7603	4.4522	0.5
2019.7630	8.00646	0.5
2019.7658	4.40846	0.5
2019.7685	7.0858	0.5
2019.7712	6.60581	0.5
2019.7740	5.0318	0.5
2019.7767	5.05572	0.5
2019.7795	4.14577	0.5
2019.7822	3.38747	0.5
2019.7849	3.39373	0.5
2019.7877	7.16787	0.5
2019.7904	6.44593	0.5
2019.7931	5.84536	0.5
2019.7959	7.46789	0.5
2019.7986	1.95827	0.5
2019.8014	4.35306	0.5
2019.8041	3.60641	0.5
2019.8068	4.08615	0.5
2019.8096	1.45384	0.5
2019.8123	2.90267	0.5
2019.8151	3.33915	0.5
2019.8178	4.07385	0.5
2019.8205	3.85746	0.5
2019.8233	4.03563	0.5
2019.8260	4.37895	0.5
2019.8288	5.1656	0.5
2019.8315	3.30585	0.5
2019.8342	5.35977	0.5
2019.8370	4.10687	0.5
2019.8397	3.39786	0.5
2019.8425	4.41751	0.5
2019.8452	3.90102	0.5
2019.8479	6.08401	0.5
2019.8507	7.37074	0.5
2019.8534	10.15173	0.5
2019.8562	5.6438	0.5
2019.8589	6.74982	0.5
2019.8616	5.57049	0.5
2019.8644	4.97777	0.5
2019.8671	5.69686	0.5
2019.8699	3.23214	0.5
2019.8726	1.4634	0.5
2019.8753	6.48665	0.5
2019.8781	1.60462	0.5
2019.8808	5.95855	0.5
2019.8836	2.45291	0.5
2019.8863	2.46856	0.5
2019.8890	3.94935	0.5
2019.8918	2.81067	0.5
2019.8945	4.54924	0.5
2019.8973	5.08279	0.5
2019.9000	3.53098	0.5
2019.9027	4.63333	0.5
2019.9055	3.8907	0.5
2019.9082	5.52616	0.5
2019.9110	3.67522	0.5
2019.9137	2.89486	0.5
2019.9164	8.92383	0.5
2019.9192	4.43158	0.5
2019.9219	4.84312	0.5
2019.9247	6.28686	0.5
2019.9274	4.71539	0.5
2019.9301	6.9266	0.5
2019.9329	3.0688	0.5
2019.9356	2.63612	0.5
2019.9384	4.78159	0.5
2019.9411	6.26024	0.5
2019.9438	6.06599	0.5
2019.9466	2.71019	0.5
2019.9493	4.84768	0.5
2019.9521	7.2737	0.5
2019.9548	8.12078	0.5
2019.9575	5.58273	0.5
2019.9603	5.97548	0.5
2019.9630	6.15357	0.5
2019.9658	4.49005	0.5
2019.9685	6.72802	0.5
2019.9712	3.15737	0.5
2019.9740	3.16934	0.5
2019.9767	5.18319	0.5
2019.9795	6.48489	0.5
2019.9822	0.68015	0.5
2019.9849	8.00676	0.5
2019.9877	5.86679	0.5
2019.9904	5.26573	0.5
2019.9931	4.17871	0.5
2019.9959	7.14657	0.5
2019.9986	4.41233	0.5
2020.0014	7.92542	0.5
2020.0041	5.72066	0.5
2020.0068	5.77001	0.5
2020.0096	6.32952	0.5
2020.0123	6.5516	0.5
2020.0150	5.14362	0.5
2020.0178	1.50106	0.5
2020.0205	7.9786	0.5
2020.0232	7.55381	0.5
2020.0260	6.14788	0.5
2020.0287	3.55651	0.5
2020.0314	3.73104	0.5
2020.0342	5.44628	0.5
2020.0369	8.00018	0.5
2020.0396	6.5265	0.5
2020.0423	3.64295	0.5
2020.0451	4.12524	0.5
2020.0478	3.74532	0.5
2020.0505	6.81912	0.5
2020.0533	2.17085	0.5
2020.0560	4.51147	0.5
2020.0587	3.02184	0.5
2020.0615	3.8703	0.5
2020.0642	5.46158	0.5
2020.0669	4.86772	0.5
2020.0697	3.49049	0.5
2020.0724	3.09364	0.5
2020.0751	5.48418	0.5
2020.0779	5.39503	0.5
2020.0806	6.12777	0.5
2020.0833	4.30841	0.5
2020.0861	2.61171	0.5
2020.0888	3.09746	0.5
2020.0915	9.21005	0.5
2020.0943	5.95504	0.5
2020.0970	4.91271	0.5
2020.0997	10.96372	0.5
2020.1025	7.6399	0.5
2020.1052	6.37899	0.5
2020.1079	7.40741	0.5
2020.1107	4.53725	0.5
2020.1134	6.2328	0.5
2020.1161	3.77342	0.5
2020.1189	6.01312	0.5
2020.1216	4.17369	0.5
2020.1243	4.03583	0.5
2020.1270	1.43731	0.5
2020.1298	6.17436	0.5
2020.1325	4.33538	0.5
2020.1352	6.30075	0.5
2020.1380	6.78309	0.5
2020.1407	6.5107	0.5
2020.1434	5.28753	0.5
2020.1462	4.22328	0.5
2020.1489	8.09089	0.5
2020.1516	8.77913	0.5
2020.1544	7.71138	0.5
2020.1571	7.17602	0.5
2020.1598	1.80916	0.5
2020.1626	4.53801	0.5
2020.1653	7.69854	0.5
2020.1680	7.51612	0.5
2020.1708	5.11386	0.5
2020.1735	4.25839	0.5
2020.1762	5.96782	0.5
2020.1790	5.19402	0.5
2020.1817	6.49845	0.5
2020.1844	6.9902	0.5
2020.1872	7.37996	0.5
2020.1899	5.93041	0.5
2020.1926	7.32365	0.5
2020.1954	4.83004	0.5
2020.1981	4.60634	0.5
2020.2008	6.58256	0.5
2020.2036	8.75325	0.5
2020.2063	4.29762	0.5
2020.2090	6.81645	0.5
2020.2117	6.43746	0.5
2020.2145	5.38587	0.5
2020.2172	6.62297	0.5
2020.2199	5.03284	0.5
2020.2227	7.56883	0.5
2020.2254	7.1692	0.5
2020.2281	5.22031	0.5
2020.2309	9.46613	0.5
2020.2336	7.67824	0.5
2020.2363	5.80251	0.5
2020.2391	7.07774	0.5
2020.2418	6.99642	0.5
2020.2445	7.96783	0.5
2020.2473	7.51106	0.5
2020.2500	6.71237	0.5
2020.2527	5.17863	0.5
2020.2555	8.34331	0.5
2020.2582	6.16472	0.5
2020.2609	9.23466	0.5
2020.2637	5.81942	0.5
2020.2664	7.26274	0.5
2020.2691	9.97886	0.5
2020.2719	7.40417	0.5
2020.2746	7.05732	0.5
2020.2773	11.06208	0.5
2020.2801	6.32101	0.5
2020.2828	6.90774	0.5
2020.2855	6.56199	0.5
2020.2883	9.72071	0.5
2020.2910	9.00653	0.5
2020.2937	10.70147	0.5
2020.2964	5.27338	0.5
2020.2992	11.19393	0.5
2020.3019	9.15796	0.5
2020.3046	10.0702	0.5
2020.3074	8.07204	0.5
2020.3101	11.42028	0.5
2020.3128	8.64626	0.5
2020.3156	11.18426	0.5
2020.3183	7.44379	0.5
2020.3210	11.11486	0.5
2020.3238	13.08727	0.5
2020.3265	7.97703	0.5
2020.3292	9.81555	0.5
2020.3320	12.15007	0.5
2020.3347	8.97633	0.5
2020.3374	11.41138	0.5
2020.3402	9.96148	0.5
2020.3429	9.78252	0.5
2020.3456	10.53442	0.5
2020.3484	12.78089	0.5
2020.3511	7.72629	0.5
2020.3538	8.29731	0.5
2020.3566	9.08874	0.5
2020.3593	8.04869	0.5
2020.3620	7.7816	0.5
2020.3648	7.63201	0.5
2020.3675	10.33115	0.5
2020.3702	6.62573	0.5
2020.3729	11.97519	0.5
2020.3757	10.02994	0.5
2020.3784	9.30288	0.5
2020.3811	11.0404	0.5
2020.3839	13.04628	0.5
2020.3866	12.22349	0.5
2020.3893	10.55956	0.5
2020.3921	5.40811	0.5
2020.3948	8.68909	0.5
2020.3975	10.6509	0.5
2020.4003	6.41691	0.5
2020.4030	7.27614	0.5
2020.4057	7.2009	0.5
2020.4085	7.61729	0.5
2020.4112	11.551	0.5
2020.4139	10.3571	0.5
2020.4167	11.44891	0.5
2020.4194	10.62061	0.5
2020.4221	10.23185	0.5
2020.4249	10.18114	0.5
2020.4276	8.31188	0.5
2020.4303	11.66027	0.5
2020.4331	8.1235	0.5
2020.4358	8.40777	0.5
2020.4385	10.00563	0.5
2020.4413	7.07353	0.5
2020.4440	9.12849	0.5
2020.4467	9.04065	0.5
2020.4495	8.92859	0.5
2020.4522	7.32893	0.5
2020.4549	9.03517	0.5
2020.4577	7.29728	0.5
2020.4604	5.63106	0.5
2020.4631	6.39865	0.5
2020.4658	9.86043	0.5
2020.4686	9.47623	0.5
2020.4713	5.29105	0.5
2020.4740	6.82677	0.5
2020.4768	4.88404	0.5
2020.4795	7.60507	0.5
2020.4822	9.13968	0.5
2020.4850	8.65941	0.5
2020.4877	8.48625	0.5
2020.4904	6.83084	0.5
2020.4932	10.2486	0.5
2020.4959	8.9965	0.5
2020.4986	5.00639	0.5
2020.5014	8.32508	0.5
2020.5041	6.34977	0.5
2020.5068	8.48818	0.5
2020.5096	11.53822	0.5
2020.5123	10.40753	0.5
2020.5150	11.09237	0.5
2020.5178	10.63127	0.5
2020.5205	8.43021	0.5
2020.5232	4.72306	0.5
2020.5260	7.35189	0.5
2020.5287	4.47795	0.5
2020.5314	8.25453	0.5
2020.5342	8.89898	0.5
2020.5369	10.37696	0.5
2020.5396	9.24572	0.5
2020.5423	11.29849	0.5
2020.5451	9.39813	0.5
2020.5478	9.78539	0.5
2020.5505	9.25399	0.5
2020.5533	7.95473	0.5
2020.5560	6.94888	0.5
2020.5587	8.66221	0.5
2020.5615	9.71992	0.5
2020.5642	7.53604	0.5
2020.5669	6.87666	0.5
2020.5697	10.01247	0.5
2020.5724	10.95068	0.5
2020.5751	8.40872	0.5
2020.5779	4.90594	0.5
2020.5806	8.85129	0.5
2020.5833	8.31251	0.5
2020.5861	6.62518	0.5
2020.5888	10.73269	0.5
2020.5915	8.56466	0.5
2020.5943	6.17545	0.5
2020.5970	6.14696	0.5
2020.5997	8.40949	0.5
2020.6025	6.47689	0.5
2020.6052	9.39783	0.5
2020.6079	6.35816	0.5
2020.6107	7.50771	0.5
2020.6134	2.06132	0.5
2020.6161	3.52421	0.5
2020.6189	6.40756	0.5
2020.6216	8.1295	0.5
2020.6243	5.04703	0.5
2020.6270	7.08327	0.5
2020.6298	5.05628	0.5
2020.6325	6.94733	0.5
2020.6352	8.7125	0.5
2020.6380	6.24544	0.5
2020.6407	8.49352	0.5
2020.6434	7.83269	0.5
2020.6462	7.13182	0.5
2020.6489	10.94742	0.5
2020.6516	10.71585	0.5
2020.6544	9.29215	0.5
2020.6571	8.09671	0.5
2020.6598	4.05022	0.5
2020.6626	9.19977	0.5
2020.6653	3.71262	0.5
2020.6680	6.9362	0.5
2020.6708	7.75703	0.5
2020.6735	5.77758	0.5
2020.6762	7.73391	0.5
2020.6790	6.38108	0.5
2020.6817	8.10537	0.5
2020.6844	12.32248	0.5
2020.6872	10.85085	0.5
2020.6899	8.9786	0.5
2020.6926	8.33668	0.5
2020.6954	9.7636	0.5
2020.6981	7.68014	0.5
2020.7008	5.14113	0.5
2020.7036	7.73108	0.5
2020.7063	8.92178	0.5
2020.7090	8.18638	0.5
2020.7117	12.09043	0.5
2020.7145	10.42697	0.5
2020.7172	8.33945	0.5
2020.7199	11.56729	0.5
2020.7227	10.57385	0.5
2020.7254	8.9484	0.5
2020.7281	10.25039	0.5
2020.7309	11.44332	0.5
2020.7336	11.10374	0.5
2020.7363	9.99332	0.5
2020.7391	10.57174	0.5
2020.7418	8.70979	0.5
2020.7445	10.91929	0.5
2020.7473	12.28526	0.5
2020.7500	8.77054	0.5
2020.7527	10.01582	0.5
2020.7555	7.56722	0.5
2020.7582	6.63415	0.5
2020.7609	12.11909	0.5
2020.7637	10.21831	0.5
2020.7664	9.95254	0.5
2020.7691	13.41539	0.5
2020.7719	10.33617	0.5
2020.7746	8.9571	0.5
2020.7773	10.19444	0.5
2020.7801	13.86144	0.5
2020.7828	10.31635	0.5
2020.7855	11.52689	0.5
2020.7883	12.23508	0.5
2020.7910	8.49487	0.5
2020.7937	8.67651	0.5
2020.7964	7.16118	0.5
2020.7992	9.92069	0.5
2020.8019	9.82002	0.5
2020.8046	8.10309	0.5
2020.8074	8.64603	0.5
2020.8101	7.73847	0.5
2020.8128	10.76927	0.5
2020.8156	11.24071	0.5
2020.8183	8.76836	0.5
2020.8210	8.1783	0.5
2020.8238	7.08847	0.5
2020.8265	10.09617	0.5
2020.8292	10.23976	0.5
2020.8320	9.66611	0.5
2020.8347	10.73818	0.5
2020.8374	10.89536	0.5
2020.8402	11.35705	0.5
2020.8429	8.33629	0.5
2020.8456	10.11551	0.5
2020.8484	10.22714	0.5
2020.8511	8.37127	0.5
2020.8538	11.18666	0.5
2020.8566	9.74551	0.5
2020.8593	9.30993	0.5
2020.8620	13.36995	0.5
2020.8648	8.80614	0.5
2020.8675	13.15504	0.5
2020.8702	13.52316	0.5
2020.8729	14.69392	0.5
2020.8757	10.14133	0.5
2020.8784	13.08417	0.5
2020.8811	12.96997	0.5
2020.8839	10.58731	0.5
2020.8866	9.95705	0.5
2020.8893	12.90489	0.5
2020.8921	9.16506	0.5
2020.8948	13.58982	0.5
2020.8975	6.82793	0.5
2020.9003	11.82088	0.5
2020.9030	9.30415	0.5
2020.9057	7.07399	0.5
2020.9085	12.2825	0.5
2020.9112	7.8683	0.5
2020.9139	7.94501	0.5
2020.9167	10.42069	0.5
2020.9194	13.26034	0.5
2020.9221	13.27779	0.5
2020.9249	9.78868	0.5
2020.9276	14.26963	0.5
2020.9303	10.28548	0.5
2020.9331	10.77959	0.5
2020.9358	13.49805	0.5
2020.9385	13.70231	0.5
2020.9413	11.90999	0.5
2020.9440	10.02814	0.5
2020.9467	10.86189	0.5
2020.9495	9.03712	0.5
2020.9522	9.85365	0.5
2020.9549	8.97908	0.5
2020.9577	11.17106	0.5
2020.9604	10.41842	0.5
2020.9631	7.29465	0.5
2020.9658	8.09807	0.5
2020.9686	9.36205	0.5
2020.9713	9.90554	0.5
2020.9740	11.92527	0.5
2020.9768	7.85148	0.5
2020.9795	9.29726	0.5
2020.9822	12.15878	0.5
2020.9850	8.65431	0.5
2020.9877	6.09149	0.5
2020.9904	9.78856	0.5
2020.9932	7.66954	0.5
2020.9959	7.90317	0.5
2020.9986	9.62858	0.5
2021.0014	8.8258	0.5
2021.0041	9.85689	0.5
2021.0068	9.34038	0.5
2021.0096	12.39127	0.5
2021.0123	8.07459	0.5
2021.0151	9.31387	0.5
2021.0178	7.77779	0.5
2021.0205	6.86212	0.5
2021.0233	10.28181	0.5
2021.0260	10.09415	0.5
2021.0288	9.79473	0.5
2021.0315	10.93484	0.5
2021.0342	7.75376	0.5
2021.0370	12.16754	0.5
2021.0397	9.04942	0.5
2021.0425	9.88963	0.5
2021.0452	6.05481	0.5
2021.0479	6.68258	0.5
2021.0507	9.83695	0.5
2021.0534	8.71076	0.5
2021.0562	6.98441	0.5
2021.0589	8.73181	0.5
2021.0616	8.8934	0.5
2021.0644	7.69841	0.5
2021.0671	9.18898	0.5
2021.0699	9.64697	0.5
2021.0726	10.11975	0.5
2021.0753	7.94913	0.5
2021.0781	13.18779	0.5
2021.0808	9.86102	0.5
2021.0836	8.2631	0.5
2021.0863	6.49967	0.5
2021.0890	11.35035	0.5
2021.0918	10.98456	0.5
2021.0945	9.10826	0.5
2021.0973	10.4873	0.5
2021.1000	11.75638	0.5
2021.1027	11.66845	0.5
2021.1055	5.88493	0.5
2021.1082	9.00725	0.5
2021.1110	8.82874	0.5
2021.1137	10.81254	0.5
2021.1164	10.47364	0.5
2021.1192	13.75895	0.5
2021.1219	12.81153	0.5
2021.1247	11.07236	0.5
2021.1274	8.5353	0.5
2021.1301	12.92767	0.5
2021.1329	9.21048	0.5
2021.1356	13.09893	0.5
2021.1384	12.92931	0.5
2021.1411	13.21799	0.5
2021.1438	10.44866	0.5
2021.1466	13.34164	0.5
2021.1493	9.20632	0.5
2021.1521	10.38727	0.5
2021.1548	7.68007	0.5
2021.1575	9.39237	0.5
2021.1603	6.75145	0.5
2021.1630	10.19691	0.5
2021.1658	12.98189	0.5
2021.1685	11.92114	0.5
2021.1712	9.98898	0.5
2021.1740	8.97634	0.5
2021.1767	11.40338	0.5
2021.1795	12.33578	0.5
2021.1822	10.35307	0.5
2021.1849	15.22174	0.5
2021.1877	10.92192	0.5
2021.1904	7.86959	0.5
2021.1931	11.56965	0.5
2021.1959	10.10633	0.5
2021.1986	12.52436	0.5
2021.2014	9.2091	0.5
2021.2041	13.55568	0.5
2021.2068	12.00239	0.5
2021.2096	12.46216	0.5
2021.2123	9.71732	0.5
2021.2151	12.05368	0.5
2021.2178	14.32033	0.5
2021.2205	11.5793	0.5
2021.2233	11.47581	0.5
2021.2260	14.00173	0.5
2021.2288	11.6657	0.5
2021.2315	14.08962	0.5
2021.2342	9.2192	0.5
2021.2370	13.27856	0.5
2021.2397	10.78245	0.5
2021.2425	12.12174	0.5
2021.2452	14.1965	0.5
2021.2479	10.20668	0.5
2021.2507	9.75774	0.5
2021.2534	4.58402	0.5
2021.2562	9.72031	0.5
2021.2589	11.11912	0.5
2021.2616	9.82777	0.5
2021.2644	12.86357	0.5
2021.2671	9.86092	0.5
2021.2699	15.4432	0.5
2021.2726	11.03224	0.5
2021.2753	13.39123	0.5
2021.2781	17.12754	0.5
2021.2808	11.26137	0.5
2021.2836	12.57299	0.5
2021.2863	12.67348	0.5
2021.2890	10.54717	0.5
2021.2918	8.90374	0.5
2021.2945	11.45932	0.5
2021.2973	11.97618	0.5
2021.3000	11.68908	0.5
2021.3027	12.71778	0.5
2021.3055	13.83924	0.5
2021.3082	13.2874	0.5
2021.3110	12.62617	0.5
2021.3137	11.67692	0.5
2021.3164	8.77076	0.5
2021.3192	11.43669	0.5
2021.3219	11.68727	0.5
2021.3247	13.46846	0.5
2021.3274	12.54323	0.5
2021.3301	12.89555	0.5
2021.3329	14.65063	0.5
2021.3356	11.42392	0.5
2021.3384	12.51858	0.5
2021.3411	8.3413	0.5
2021.3438	9.82446	0.5
2021.3466	9.20783	0.5
2021.3493	12.20733	0.5
2021.3521	12.58664	0.5
2021.3548	11.03831	0.5
2021.3575	13.00499	0.5
2021.3603	12.36043	0.5
2021.3630	12.41871	0.5
2021.3658	12.81246	0.5
2021.3685	9.74286	0.5
2021.3712	10.25111	0.5
2021.3740	13.38153	0.5
2021.3767	11.95277	0.5
2021.3795	12.13455	0.5
2021.3822	13.59875	0.5
2021.3849	11.85328	0.5
2021.3877	12.05677	0.5
2021.3904	9.62854	0.5
2021.3931	11.86822	0.5
2021.3959	8.88621	0.5
2021.3986	13.364	0.5
2021.4014	10.69667	0.5
2021.4041	13.62686	0.5
2021.4068	12.9139	0.5
2021.4096	11.71249	0.5
2021.4123	11.78082	0.5
2021.4151	13.96422	0.5
2021.4178	13.45386	0.5
2021.4205	10.05708	0.5
2021.4233	9.1378	0.5
2021.4260	12.41704	0.5
2021.4288	13.61397	0.5
2021.4315	12.38966	0.5
2021.4342	16.2975	0.5
2021.4370	13.3196	0.5
2021.4397	15.89949	0.5
2021.4425	14.83285	0.5
2021.4452	15.11338	0.5
2021.4479	11.98382	0.5
2021.4507	14.40527	0.5
2021.4534	14.917	0.5
2021.4562	13.11273	0.5
2021.4589	10.36783	0.5
2021.4616	13.58459	0.5
2021.4644	11.19845	0.5
2021.4671	10.93002	0.5
2021.4699	12.0577	0.5
2021.4726	12.50576	0.5
2021.4753	11.81018	0.5
2021.4781	14.2864	0.5
2021.4808	8.86737	0.5
2021.4836	13.52205	0.5
2021.4863	9.54028	0.5
2021.4890	13.25046	0.5
2021.4918	11.19904	0.5
2021.4945	9.05311	0.5
2021.4973	10.14267	0.5
2021.5000	14.16772	0.5
2021.5027	11.86667	0.5
2021.5055	13.9188	0.5
2021.5082	13.24599	0.5
2021.5110	13.37002	0.5
2021.5137	11.95371	0.5
2021.5164	13.06702	0.5
2021.5192	12.09497	0.5
2021.5219	10.60287	0.5
2021.5247	16.29587	0.5
2021.5274	12.10425	0.5
2021.5301	15.72371	0.5
2021.5329	12.0894	0.5
2021.5356	7.87983	0.5
2021.5384	9.14791	0.5
